time	cases	deaths	hospitalized	ICU	recovered
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	3	0			
2020-03-02	6	0			
2020-03-03	11	0			
2020-03-04	26	0			
2020-03-05	34	0			
2020-03-06	43	0	0	0	
2020-03-07	50	0	0	0	
2020-03-08	50	0	0	0	
2020-03-09	58	0	1	0	
2020-03-10	69	0	1	0	
2020-03-11	85	0	0	0	
2020-03-12	103	0	2	0	
2020-03-13	134	0	2	0	
2020-03-14	156	0	2	1	
2020-03-15	171	0	3	1	
2020-03-16	180	0	3	2	
2020-03-17	220	1	4	2	
2020-03-18	250	1	5	2	
2020-03-19	330	1	7	1	
2020-03-20	409	1	6	1	
2020-03-21	568	1	12	1	
2020-03-22	588	1	14	1	
2020-03-23	678	2	13	0	
